trct,access_total,access_low,access_med,access_high,cutoff,totjobs,lowjobs,medjobs,highjobs,workers_all,workers_low,workers_med,workers_high
48453041900,2331,428,611,1292,45,778,136,274,368,1659,290.0051413881748,584.2750642673521,784.719794344473
48453041100,402,91,169,142,45,402,91,169,142,995,225.2363184079602,418.29601990049747,351.4676616915423
48453036700,533,141,142,250,45,533,141,142,250,3418,904.1988742964353,910.6116322701689,1603.189493433396
48453044000,8168,1188,1747,5233,45,3845,423,533,2889,1580,173.82054616384914,219.02210663198957,1187.1573472041614
48453043700,3909,438,547,2924,45,64,15,14,35,976,228.75,213.5,533.75
48453036800,682,198,118,366,45,682,198,118,366,1972,572.516129032258,341.19648093841647,1058.2873900293255
48453041500,625,70,132,423,45,625,70,132,423,1222,136.864,258.0864,827.0495999999999
48453002213,303,23,131,149,45,303,23,131,149,1913,145.21122112211222,827.072607260726,940.7161716171618
48453002447,3493,498,1221,1774,45,3493,498,1221,1774,1535,218.84626395648442,536.5688519896936,779.584884053822
48453041000,3493,1054,1234,1205,45,2076,736,750,590,2331,826.4046242774567,842.1242774566474,662.4710982658959
48453001312,16402,3401,3115,9886,45,4372,1424,1183,1765,2130,693.7602927721866,576.347209515096,859.8924977127174
48453044400,5566,530,1550,3486,45,159,41,67,51,3028,780.8050314465409,1275.9496855345913,971.2452830188679
48453047000,938,314,333,291,45,938,314,333,291,977,327.0554371002132,346.8454157782516,303.09914712153517
48453044900,4762,274,506,3982,45,4762,274,506,3982,3340,192.1797564048719,354.90130197396053,2792.9189416211675
48453002453,2866,251,865,1750,45,2866,251,865,1750,2573,225.33949755757155,776.5683879972086,1571.0921144452197
48453041600,1391,247,463,681,45,1391,247,463,681,2740,486.5420560747663,912.020129403307,1341.4378145219266
48453035200,343,76,113,154,45,343,76,113,154,1711,379.1137026239067,563.6822157434402,768.204081632653
48453040000,5870,1756,1911,2203,45,4824,1583,1548,1693,2599,852.8642205638474,834.0074626865671,912.1283167495855
48453036400,675,119,166,390,45,675,119,166,390,1072,188.9896296296296,263.63259259259263,619.3777777777777
48453034500,126,16,11,99,45,126,16,11,99,1107,140.57142857142856,96.64285714285714,869.7857142857142
48453032400,6868,1739,1597,3532,45,6868,1739,1597,3532,1084,274.472335468841,252.05998835177635,557.4676761793826
48453033800,620,129,215,276,45,324,59,117,148,2154,392.24074074074076,777.8333333333334,983.9259259259259
48453030100,4427,462,495,3470,45,4427,462,495,3470,1765,184.19471425344477,197.35147955726225,1383.453806189293
48453030800,11346,2160,1633,7553,45,11346,2160,1633,7553,2254,429.1062929666843,324.41230389564606,1500.4814031376695
48453035300,587,134,202,251,45,587,134,202,251,866,197.68994889267464,298.01022146507665,370.2998296422487
48453031600,14471,359,1474,12638,45,14471,359,1474,12638,1135,28.157349181120864,115.60984037039597,991.2328104484831
48453032500,10032,1021,2193,6818,45,10032,1021,2193,6818,2507,255.14822567783096,548.0313995215311,1703.8203748006379
48453045600,3257,252,922,2083,45,3257,252,922,2083,2945,227.8599938593798,833.6782315013817,1883.4617746392385
48453043000,4047,440,736,2871,45,4047,440,736,2871,2213,240.60291574005436,402.46305905609097,1569.9340252038546
48453034200,5398,280,969,4149,45,5398,280,969,4149,2909,150.89292330492776,522.1972952945536,2235.9097814005186
48453041300,2340,294,560,1486,45,919,140,212,567,2071,315.4951033732318,477.74972796517955,1277.7551686615886
48453042000,755,100,143,512,45,755,100,143,512,1260,166.88741721854305,238.64900662251654,854.4635761589404
48453045100,1120,172,371,577,45,1120,172,371,577,1541,236.65357142857144,510.45624999999995,793.8901785714285
48453041400,2340,294,560,1486,45,1421,154,348,919,1511,163.7536945812808,370.0408163265306,977.2054890921886
48453032100,4268,1663,1549,1056,45,4268,1663,1549,1056,2834,1104.250702905342,1028.553420805998,701.1958762886599
48453043100,2142,515,825,802,45,414,153,155,106,941,347.7608695652174,352.30676328502415,240.93236714975848
48453042500,162,34,40,88,45,162,34,40,88,3649,765.8395061728395,900.9876543209876,1982.1728395061727
48453046400,1821,262,513,1046,45,1821,262,513,1046,1955,281.279516749039,550.7495881383855,1122.9708951125756
48453040200,5083,1135,1795,2153,45,911,327,299,285,1080,387.66190998902306,354.46761800219537,337.8704720087816
48453033900,807,165,227,415,45,807,165,227,415,2368,484.1635687732342,666.0916976456009,1217.7447335811648
48453045200,2269,676,850,743,45,172,51,61,60,2303,682.8662790697675,816.7616279069767,803.3720930232558
48453035400,951,193,229,529,45,951,193,229,529,1961,397.9737118822292,472.20715036803364,1090.8191377497371
48453042200,4909,853,1551,2505,45,4909,853,1551,2505,2130,370.1140761865961,672.9741291505399,1086.9117946628642
48453030000,3263,627,733,1903,45,1927,284,358,1285,2115,311.7073170731707,392.9268292682927,1410.3658536585365
48453043800,124,51,52,21,45,124,51,52,21,1686,693.4354838709678,707.0322580645161,285.5322580645161
48453030500,3294,331,350,2613,45,3294,331,350,2613,3035,304.9741955069824,322.4802671523983,2407.5455373406194
48453032800,931,73,158,700,45,931,73,158,700,1012,79.35123523093448,171.74650912996776,760.9022556390977
48453046200,756,118,254,384,45,677,105,214,358,3708,575.096011816839,1172.1004431314625,1960.8035450516986
48453046000,648,104,208,336,45,648,104,208,336,2173,348.75308641975306,697.5061728395061,1126.7407407407406
48453042800,2122,467,803,852,45,863,159,281,423,3073,566.1726535341832,1000.5944380069525,1506.2329084588646
48453001311,42201,7133,6693,28375,45,4630,607,675,3348,925,121.26889848812094,134.85421166306696,668.8768898488121
48453046300,2122,467,803,852,45,1259,308,522,429,1168,285.7378872120731,484.2700555996823,397.99205718824464
48453002449,717,70,194,453,45,717,70,194,453,2789,272.28730822873086,754.6248256624825,1762.0878661087868
48453035800,3390,1204,866,1320,45,3390,1204,866,1320,2248,798.4047197640118,574.2678466076695,875.3274336283185
48453042300,3642,1128,1154,1360,45,235,53,58,124,1821,410.69361702127657,449.4382978723404,960.868085106383
48453045700,7807,1183,1938,4686,45,3898,557,802,2539,1772,253.207798871216,364.5828630066701,1154.2093381221139
48453045500,311,77,77,157,45,76,24,19,33,1467,463.2631578947368,366.75,636.9868421052632
48453042900,3566,1104,1135,1327,45,3331,1051,1077,1203,1637,516.5076553587511,529.2851996397478,591.207145001501
48453031300,546,207,154,185,45,546,207,154,185,2382,903.065934065934,671.8461538461538,807.0879120879122
48453031900,1400,438,507,455,45,1092,325,397,370,3168,942.8571428571429,1151.7362637362637,1073.4065934065934
48453044600,474,85,131,258,45,113,43,41,29,2584,983.29203539823,937.5575221238938,663.1504424778761
48453046500,3909,626,1136,2147,45,3909,626,1136,2147,1787,286.1760040931184,519.3225888974162,981.5014070094653
48453044100,1464,447,584,433,45,635,163,256,216,2084,534.948031496063,840.1637795275591,708.8881889763779
48453046800,154,41,41,72,45,154,41,41,72,5326,1417.9610389610389,1417.9610389610389,2490.077922077922
48453042700,756,118,254,384,45,79,13,40,26,2401,395.1012658227848,1215.6962025316457,790.2025316455696
48453002439,36,12,11,13,45,36,12,11,13,1632,544,498.6666666666667,589.3333333333334
48453042100,2269,676,850,743,45,2097,625,789,683,2544,758.2260371959942,957.1845493562232,828.5894134477826
48453044500,5566,530,1550,3486,45,5407,489,1483,3435,1617,146.23876456445348,443.50120214536713,1027.2600332901793
48453043900,8104,1173,1733,5198,45,4259,750,1200,2309,3909,688.3658135712608,1101.3853017140173,2119.248884714722
48453033500,955,423,288,244,45,437,128,165,144,2810,823.0663615560641,1060.9839816933638,925.9496567505721
