h3_id,percentile,cutoff,access_total_jobs,access_low_wage_jobs,access_middle_wage_jobs,access_high_wage_jobs,lon,lat,network_snapshot,gtfs_snapshot,jobs_year,departure_datetime
88489e35a9fffff,50,45,139872,18944,30974,89954,-97.71413152085267,30.332474080135125,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489e24d9fffff,50,45,13561,2641,3307,7613,-97.81036791380716,30.475897200429216,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489e24abfffff,50,45,297,93,78,126,-97.76585065993892,30.500608430726675,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489e354dfffff,50,45,20718,3242,4424,13052,-97.6934319197408,30.248203565397965,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
884898cb19fffff,50,45,0,0,0,0,-97.9035433720654,30.333520227530236,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489e2049fffff,50,45,0,0,0,0,-97.59994960375792,30.305478612868757,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489e30ebfffff,50,45,3,0,3,0,-97.6451115266439,30.211237661261663,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489e201bfffff,50,45,67,17,23,27,-97.62325876106146,30.351029162296143,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489e2421fffff,50,45,2779,163,346,2270,-97.71640107222288,30.44825214174475,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489e34c3fffff,50,45,4,0,0,4,-97.81522746189503,30.31348558357817,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489ea5b5fffff,50,45,0,0,0,0,-97.92105001159192,30.13184913611736,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489e3495fffff,50,45,3242,206,370,2666,-97.81722083563942,30.34432534444533,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
884898db31fffff,50,45,592,87,122,383,-97.89907484837858,30.186789662003253,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489e3467fffff,50,45,330702,34187,56585,239930,-97.74080871758206,30.269736312895517,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
884898db03fffff,50,45,27,2,0,25,-97.9082702327509,30.17098800905196,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489e3033fffff,50,45,0,0,0,0,-97.6191461889192,30.204402051862175,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489e3439fffff,50,45,22902,2760,2997,17145,-97.76780139896422,30.291973429754623,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489ead93fffff,50,45,20715,4202,6705,9808,-97.78686745576516,30.190823976825065,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489e340bfffff,50,45,1097,293,323,481,-97.77701662148952,30.276194078909377,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489e2741fffff,50,45,43353,5107,10536,27710,-97.7058881195306,30.363657270490616,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489ead37fffff,50,45,47,2,4,41,-97.71254774545272,30.14706737172988,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489e2713fffff,50,45,147,12,35,100,-97.72926276332008,30.409195915457342,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
