job_type,weighted_mean,unweighted_mean,median,minimum,maximum,worker_count
All jobs,55273.211758995465,26525.241919686596,2337,0,341773,473850
Low-wage jobs,6266.137967626202,2994.8197845249742,249,0,38097,59369
Middle-wage jobs,10214.065032683378,4952.905974534767,400,0,61300,89801
High-wage jobs,39004.52780275964,18577.516160626827,1432,0,242376,324680
